Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
18.7	-0.00729181	-0.00780399	-0.00199514	0.00675629
18.8	-0.00717583	-0.00760915	-0.00181126	0.00677869
18.9	-0.00701607	-0.00780394	-0.00160872	0.00671998
19	-0.00693017	-0.00771606	-0.00171427	0.00672113
19.1	-0.00672895	-0.00786921	-0.00145731	0.00683723
19.2	-0.00706362	-0.00779562	-0.00140007	0.00672886
19.3	-0.00709579	-0.00771481	-0.00155126	0.00673492
19.4	-0.00734784	-0.00785524	-0.00128921	0.00676864
19.5	-0.00712799	-0.00795844	-0.00147399	0.00691879
19.6	-0.00699851	-0.00807987	-0.0015522	0.00690624
19.7	-0.00697913	-0.00784138	-0.00147694	0.00688116
19.8	-0.00683236	-0.00776966	-0.00137305	0.00702206
19.9	-0.00686512	-0.00770947	-0.00116631	0.00698455
20	-0.00664136	-0.00776634	-0.00118181	0.00704203
20.1	-0.00669067	-0.0078276	-0.00101459	0.00693376
20.2	-0.00659775	-0.00777261	-0.00114426	0.00729823
20.3	-0.00652263	-0.00746685	-0.00129626	0.00720195
20.4	-0.00644532	-0.00748962	-0.00148609	0.00727425
20.5	-0.00634416	-0.00742786	-0.00127994	0.00750465
20.6	-0.00635472	-0.0073537	-0.00133787	0.00758085
20.7	-0.00625588	-0.00729977	-0.00124853	0.00722022
20.8	-0.00630548	-0.00727313	-0.000819319	0.00747209
20.9	-0.00575321	-0.007162	-0.00111623	0.00756983
21	-0.00598872	-0.00694552	-0.00102892	0.00762936
21.1	-0.00578199	-0.00702265	-0.001026	0.00784062
21.2	-0.00564281	-0.0069205	-0.000747216	0.00803443
21.3	-0.00558741	-0.00699512	-0.00120415	0.00795373
21.4	-0.00542607	-0.00699817	-0.000827142	0.00798101
21.5	-0.00529946	-0.00685481	-0.000883903	0.00801949
21.6	-0.00524445	-0.00675676	-0.000876283	0.00807359
21.7	-0.00524318	-0.00675976	-0.00078766	0.00803857
21.8	-0.00522274	-0.00676411	-0.000842975	0.00813611
21.9	-0.00526865	-0.00653536	-0.000792634	0.00809542
22	-0.00526088	-0.00645495	-0.000458166	0.00818788
22.1	-0.0050669	-0.00650232	-0.000384585	0.00842478
22.2	-0.00513281	-0.00659862	-0.00038343	0.00846781
22.3	-0.00504245	-0.00652277	-0.000520218	0.00843292
22.4	-0.00516467	-0.00653202	-0.000371086	0.00869706
22.5	-0.00493645	-0.00642939	-0.000180632	0.00873891
22.6	-0.00490763	-0.0064397	-0.00018488	0.00874861
22.7	-0.00502612	-0.00643343	-0.000300954	0.00867452
22.8	-0.00486281	-0.00656073	-0.000350068	0.0087843
22.9	-0.00465691	-0.00643911	-5.06739e-05	0.00873755
23	-0.00451228	-0.00630823	6.62629e-05	0.0088759
23.1	-0.0045972	-0.00632802	-0.000139818	0.0090393
