TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L13.2	E4_L08.2CG_almt5-1
14:56:49.516	213	-0.0407128	-0.335934	-0.42223	-0.146423
14:56:50.516	214	-0.0342406	-0.336906	-0.424903	-0.146953
14:56:51.516	215	-0.0294766	-0.337313	-0.427333	-0.147509
14:56:52.516	216	-0.0259516	-0.33718	-0.429498	-0.148202
14:56:53.516	217	-0.0234829	-0.338076	-0.432203	-0.148735
14:56:54.516	218	-0.0222829	-0.338618	-0.43444	-0.149566
14:56:55.516	219	-0.0218813	-0.339169	-0.436996	-0.150106
14:56:56.516	220	-0.0215653	-0.339775	-0.439254	-0.151052
14:56:57.516	221	-0.0223518	-0.340448	-0.442011	-0.152181
14:56:58.516	222	-0.0234325	-0.341172	-0.444276	-0.152991
14:56:59.516	223	-0.0253493	-0.341756	-0.446457	-0.153465
14:57:00.516	224	-0.0271518	-0.341915	-0.448323	-0.154282
14:57:01.516	225	-0.0296674	-0.342398	-0.450937	-0.15522
14:57:02.516	226	-0.0314904	-0.342792	-0.453147	-0.156549
14:57:03.516	227	-0.0341238	-0.343088	-0.455086	-0.157566
14:57:04.516	228	-0.0363751	-0.342947	-0.456957	-0.158925
14:57:05.516	229	-0.0395209	-0.343079	-0.458461	-0.159565
14:57:06.516	230	-0.0419786	-0.342689	-0.459785	-0.160274
14:57:07.516	231	-0.0444512	-0.342941	-0.461114	-0.161339
14:57:08.516	232	-0.0466176	-0.343019	-0.461873	-0.161909
14:57:09.516	233	-0.0488335	-0.342604	-0.462189	-0.162157
14:57:10.516	234	-0.050809	-0.342436	-0.462686	-0.162682
14:57:11.516	235	-0.0519406	-0.342001	-0.462457	-0.163254
14:57:12.516	236	-0.0538023	-0.342271	-0.461946	-0.163823
14:57:13.516	237	-0.0557474	-0.342055	-0.461118	-0.164247
14:57:14.516	238	-0.0565379	-0.341731	-0.45981	-0.165142
14:57:15.516	239	-0.0583128	-0.341708	-0.457759	-0.166184
14:57:16.516	240	-0.0595494	-0.342021	-0.454921	-0.166645
14:57:17.516	241	-0.061316	-0.34191	-0.450871	-0.167372
14:57:18.516	242	-0.0621765	-0.341639	-0.446046	-0.168384
14:57:19.516	243	-0.0645575	-0.34207	-0.440136	-0.16977
14:57:20.516	244	-0.0664021	-0.342441	-0.432297	-0.170838
14:57:21.516	245	-0.0677323	-0.342354	-0.422532	-0.171499
14:57:22.516	246	-0.0695372	-0.342832	-0.410679	-0.17256
14:57:23.516	247	-0.0709768	-0.342945	-0.396998	-0.173615
14:57:24.516	248	-0.0720556	-0.34314	-0.380498	-0.174167
14:57:25.516	249	-0.0736439	-0.342935	-0.362154	-0.174781
14:57:26.516	250	-0.0744953	-0.342645	-0.342735	-0.175553
14:57:27.516	251	-0.0750814	-0.342322	-0.322812	-0.176274
14:57:28.516	252	-0.0770086	-0.342678	-0.303936	-0.176846
14:57:29.516	253	-0.0782101	-0.34266	-0.285538	-0.176969
14:57:30.516	254	-0.079489	-0.34292	-0.268883	-0.176716
14:57:31.516	255	-0.0808488	-0.342629	-0.253834	-0.176863
14:57:32.516	256	-0.0812505	-0.342426	-0.239899	-0.177041
14:57:33.516	257	-0.082083	-0.343012	-0.227602	-0.177302
14:57:34.516	258	-0.083516	-0.343619	-0.215396	-0.177529
14:57:35.516	259	-0.0853301	-0.344102	-0.204268	-0.177704
14:57:36.516	260	-0.0870791	-0.344705	-0.193893	-0.178119
14:57:37.516	261	-0.0888545	-0.345698	-0.182514	-0.177392
14:57:38.516	262	-0.0903567	-0.347758	-0.172815	-0.17738
14:57:39.516	263	-0.0912232	-0.347693	-0.164549	-0.177804
14:57:40.516	264	-0.0926321	-0.347824	-0.156458	-0.177869
14:57:41.516	265	-0.0944615	-0.347493	-0.148764	-0.178309
14:57:42.516	266	-0.0956414	-0.347356	-0.14145	-0.178356
14:57:43.516	267	-0.0972499	-0.347447	-0.134006	-0.178174
14:57:44.516	268	-0.098571	-0.347301	-0.126661	-0.178236
14:57:45.516	269	-0.0996716	-0.347161	-0.119658	-0.178072
14:57:46.516	270	-0.100651	-0.347131	-0.113217	-0.179011
14:57:47.516	271	-0.10158	-0.347098	-0.107518	-0.179086
14:57:48.516	272	-0.102488	-0.347191	-0.102128	-0.179219
14:57:49.516	273	-0.10348	-0.347474	-0.0974221	-0.179821
14:57:50.516	274	-0.104301	-0.348899	-0.09301	-0.17973
14:57:51.516	275	-0.105111	-0.350529	-0.0892788	-0.179527
14:57:52.516	276	-0.106271	-0.351811	-0.0849721	-0.179663
14:57:53.516	277	-0.106802	-0.352353	-0.0812679	-0.180028
14:57:54.516	278	-0.107448	-0.352425	-0.0772754	-0.180174
14:57:55.516	279	-0.10828	-0.351994	-0.0735496	-0.180429
14:57:56.516	280	-0.109021	-0.351698	-0.0698518	-0.180278
14:57:57.516	281	-0.110226	-0.351488	-0.0668074	-0.180164
14:57:58.516	282	-0.111354	-0.351272	-0.0640147	-0.18036
14:57:59.516	283	-0.112463	-0.351011	-0.060699	-0.180307
14:58:00.516	284	-0.113227	-0.351002	-0.0584419	-0.180134
14:58:01.516	285	-0.114336	-0.350787	-0.0552609	-0.179862
14:58:02.516	286	-0.115212	-0.350588	-0.0209545	-0.179649
14:58:03.516	287	-0.116133	-0.350129	-0.0124065	-0.179832
14:58:04.516	288	-0.116822	-0.349671	-0.0166506	-0.180128
14:58:05.516	289	-0.117606	-0.349484	-0.0171389	-0.180555
14:58:06.516	290	-0.118606	-0.349506	-0.0195417	-0.180839
14:58:07.516	291	-0.119073	-0.348958	-0.0223692	-0.180934
14:58:08.516	292	-0.119958	-0.348792	-0.0295211	-0.181306
14:58:09.516	293	-0.120479	-0.348457	-0.0384434	-0.181485
14:58:10.516	294	-0.121194	-0.348533	-0.0340262	-0.181385
14:58:11.516	295	-0.122239	-0.349057	-0.0407494	-0.181515
14:58:12.516	296	-0.123622	-0.349671	-0.0415504	-0.181826
14:58:13.516	297	-0.124764	-0.349969	-0.0446832	-0.181985
14:58:14.516	298	-0.125288	-0.349807	-0.0495983	-0.181921
14:58:15.516	299	-0.126155	-0.349606	-0.0498712	-0.181711
14:58:16.516	300	-0.127195	-0.349855	-0.0500289	-0.181655
14:58:17.516	301	-0.127616	-0.349591	-0.0506989	-0.18164
14:58:18.516	302	-0.128088	-0.348945	-0.0512792	-0.181815
14:58:19.516	303	-0.129255	-0.349258	-0.052166	-0.181431
14:58:20.516	304	-0.129325	-0.349417	-0.0526141	-0.180922
14:58:21.516	305	-0.129244	-0.349035	-0.0533113	-0.180757
14:58:22.516	306	-0.12975	-0.348788	-0.0541917	-0.18084
14:58:23.516	307	-0.130555	-0.348907	-0.0548724	-0.180481
14:58:24.516	308	-0.131391	-0.349008	-0.0559011	-0.18031
14:58:25.516	309	-0.131943	-0.348938	-0.056638	-0.180617
14:58:26.516	310	-0.132224	-0.348935	-0.0578117	-0.180616
14:58:27.516	311	-0.13277	-0.34901	-0.0592138	-0.181013
14:58:28.516	312	-0.133509	-0.34904	-0.0609267	-0.180812
14:58:29.516	313	-0.134091	-0.349182	-0.0626207	-0.181213
14:58:30.516	314	-0.134637	-0.349551	-0.0636813	-0.181402
14:58:31.516	315	-0.135234	-0.349501	-0.063893	-0.181248
14:58:32.516	316	-0.135882	-0.349636	-0.0645065	-0.180991
14:58:33.516	317	-0.136285	-0.349634	-0.0657454	-0.180394
14:58:34.516	318	-0.137358	-0.349583	-0.0665591	-0.179939
14:58:35.516	319	-0.137837	-0.34957	-0.0675914	-0.180265
14:58:36.516	320	-0.138932	-0.349637	-0.0684222	-0.180111
14:58:37.516	321	-0.139483	-0.349531	-0.0692366	-0.180151
14:58:38.516	322	-0.14026	-0.349727	-0.0707626	-0.180033
14:58:39.516	323	-0.140863	-0.349594	-0.0726152	-0.179913
14:58:40.516	324	-0.141581	-0.349326	-0.0741204	-0.179851
14:58:41.516	325	-0.141974	-0.349031	-0.0759045	-0.180011
14:58:42.516	326	-0.142669	-0.3492	-0.0776201	-0.179811
14:58:43.516	327	-0.143332	-0.349485	-0.0790235	-0.179736
14:58:44.516	328	-0.144355	-0.349709	-0.0805552	-0.179341
14:58:45.516	329	-0.145287	-0.349922	-0.0812284	-0.179034
14:58:46.516	330	-0.146261	-0.350032	-0.0820029	-0.178642
14:58:47.516	331	-0.146992	-0.350146	-0.0820583	-0.178019
14:58:48.516	332	-0.147872	-0.350124	-0.0826187	-0.177721
14:58:49.516	333	-0.148315	-0.350163	-0.0828625	-0.177335
14:58:50.516	334	-0.149611	-0.350527	-0.0833168	-0.176725
14:58:51.516	335	-0.151231	-0.351048	-0.0834658	-0.176132
14:58:52.516	336	-0.152035	-0.35127	-0.0762745	-0.17571
14:58:53.516	337	-0.152963	-0.351513	-0.0132695	-0.175253
14:58:54.516	338	-0.153536	-0.351493	-0.00842258	-0.174988
14:58:55.516	339	-0.153895	-0.351474	-0.0158705	-0.174767
14:58:56.516	340	-0.154353	-0.351742	-0.0141831	-0.174628
14:58:57.516	341	-0.154741	-0.35166	-0.021675	-0.17469
14:58:58.516	342	-0.15537	-0.351881	-0.0253618	-0.175476
14:58:59.516	343	-0.156115	-0.352363	-0.046983	-0.175339
14:59:00.516	344	-0.156611	-0.352928	-0.0355683	-0.175198
14:59:01.516	345	-0.157099	-0.35315	-0.0331009	-0.174674
14:59:02.516	346	-0.157616	-0.353174	-0.0285975	-0.174517
14:59:03.516	347	-0.158137	-0.353628	-0.0575612	-0.174273
14:59:04.516	348	-0.158823	-0.353544	-0.0456878	-0.174367
14:59:05.516	349	-0.159121	-0.353766	-0.035689	-0.174785
14:59:06.516	350	-0.159408	-0.353843	-0.0391911	-0.174767
14:59:07.516	351	-0.160429	-0.354181	-0.0281067	-0.174397
14:59:08.516	352	-0.161269	-0.354483	-0.033153	-0.174398
14:59:09.516	353	-0.161662	-0.354444	-0.0184914	-0.174707
14:59:10.516	354	-0.162205	-0.354546	-0.0306404	-0.174552
14:59:11.516	355	-0.162808	-0.354977	-0.0338939	-0.174193
14:59:12.516	356	-0.163334	-0.35497	-0.0274167	-0.173961
14:59:13.516	357	-0.16372	-0.354859	-0.0281787	-0.173874
14:59:14.516	358	-0.16368	-0.35487	-0.0393382	-0.174199
14:59:15.516	359	-0.163783	-0.354553	-0.0466819	-0.174288
14:59:16.516	360	-0.162944	-0.354692	-0.0525362	-0.174272
14:59:17.516	361	-0.162849	-0.35574	-0.0573538	-0.174023
14:59:18.516	362	-0.162668	-0.3578	-0.0640451	-0.173965
14:59:19.516	363	-0.16307	-0.359672	-0.0649523	-0.17378
14:59:20.516	364	-0.163759	-0.360846	-0.0489298	-0.173475
