Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L13.2	E4_L08.2PG_Col.0
1.37	-7.83769e-05	0.00196468	-0.0023468	0.0191382
1.38	-6.02719e-05	0.0022031	-0.00211042	0.0190026
1.39	-8.09661e-05	0.00200989	-0.00221464	0.0191557
1.4	-0.000222924	0.0022512	-0.00223539	0.0188802
1.41	-9.65643e-05	0.00210183	-0.00226314	0.0187825
1.42	-4.74416e-05	0.00207833	-0.0020711	0.0189342
1.43	-5.17723e-05	0.00199611	-0.00230107	0.0177946
1.44	-2.81379e-05	0.00195551	-0.00222746	0.0162749
1.45	-0.000201442	0.00192532	-0.00210906	0.01438
1.46	-1.24855e-05	0.00208807	-0.00228136	0.0144866
1.47	1.03576e-05	0.00181741	-0.00234649	0.0144655
1.48	6.25063e-05	0.00193102	-0.00198854	0.0144345
1.49	-7.93275e-05	0.00191251	-0.00215971	0.0142335
1.5	-5.3617e-05	0.00178889	-0.00225615	0.0168823
1.51	-1.64365e-05	0.00181497	-0.00231072	0.0189352
1.52	5.30266e-05	0.00193236	-0.00208172	0.017503
1.53	0.000129757	0.00195106	-0.00219833	0.0167383
1.54	-5.83427e-05	0.00195846	-0.00229097	0.0183308
1.55	5.94139e-05	0.00192526	-0.00236559	0.0177769
1.56	8.93569e-06	0.00206559	-0.00219688	0.0177432
1.57	4.71609e-05	0.00200228	-0.00210852	0.0177286
1.58	-7.0626e-05	0.00197024	-0.00201533	0.0181371
1.59	-9.43339e-05	0.00200334	-0.00233238	0.0171276
1.6	1.65961e-05	0.00206426	-0.00210284	0.0183686
1.61	0.000106631	0.00209084	-0.00223148	0.0173062
1.62	6.91864e-05	0.00208569	-0.0023064	0.0168605
1.63	0.000127428	0.00194226	-0.00227376	0.0178424
1.64	5.36532e-05	0.00211446	-0.00220244	0.0179618
1.65	9.95385e-05	0.00204672	-0.00223645	0.017775
1.66	5.11534e-05	0.0019723	-0.0022223	0.017909
1.67	7.25576e-05	0.00172106	-0.00205509	0.0182349
1.68	0.000102527	0.002185	-0.00206865	0.0171474
1.69	7.52924e-05	0.00186382	-0.00241136	0.016193
1.7	9.46507e-05	0.00160428	-0.00202579	0.0161745
1.71	-7.94921e-06	0.00149393	-0.00230244	0.016067
