Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
1.74	0.0483834	-0.00396427	0.0230407	-0.00295972
1.75	0.048472	-0.00373639	0.022935	-0.00297544
1.76	0.0485653	-0.00386696	0.022697	-0.00300549
1.77	0.0488094	-0.0039315	0.0228859	-0.00314872
1.78	0.0485889	-0.00385679	0.0231876	-0.00315931
1.79	0.0487322	-0.00387808	0.0232677	-0.00302492
1.8	0.0485951	-0.0042092	0.022999	-0.00293407
1.81	0.0486017	-0.0040056	0.0231023	-0.00296508
1.82	0.0486342	-0.00396665	0.0232056	-0.00303066
1.83	0.0486974	-0.00400253	0.0229912	-0.00291895
1.84	0.0484777	-0.00408486	0.0228421	-0.00302374
1.85	0.0485766	-0.00378846	0.0228695	-0.00312372
1.86	0.0483024	-0.00389115	0.0227263	-0.00301738
1.87	0.0484698	-0.00396549	0.0227734	-0.00297238
1.88	0.0483192	-0.00413116	0.0227596	-0.00312138
1.89	0.0484141	-0.0040525	0.0228903	-0.0031038
1.9	0.0483616	-0.00408975	0.0226944	-0.00305311
1.91	0.0485233	-0.0039867	0.022782	-0.00308319
1.92	0.0482575	-0.00413463	0.0232431	-0.00304845
1.93	0.0483422	-0.00407407	0.023093	-0.00293775
1.94	0.048569	-0.00396929	0.0234181	-0.00309143
1.95	0.0487993	-0.00373651	0.0232383	-0.00313684
1.96	0.0484617	-0.00354549	0.0232095	-0.0031417
1.97	0.0485945	-0.00352674	0.0233375	-0.00306654
1.98	0.0483299	-0.00371538	0.0230717	-0.00315503
1.99	0.0484876	-0.00358399	0.0231753	-0.00308567
2	0.0483892	-0.0036712	0.0231977	-0.0029342
2.01	0.0484891	-0.00359401	0.0231162	-0.00311825
2.02	0.0484139	-0.00386468	0.0229242	-0.00303684
2.03	0.0485706	-0.00358662	0.0229696	-0.00310701
2.04	0.0485068	-0.00372983	0.0231068	-0.00314127
2.05	0.0485968	-0.00368534	0.0231711	-0.00309578
2.06	0.0481961	-0.00361893	0.0229439	-0.00309045
2.07	0.0484159	-0.00347974	0.0233065	-0.00305838
2.08	0.0484435	-0.0037222	0.0230709	-0.00301469
2.09	0.0484964	-0.00340859	0.0230476	-0.00291467
2.1	0.0484979	-0.00374664	0.0231068	-0.00312408
2.11	0.0485746	-0.003539	0.0231273	-0.00298972
2.12	0.0483699	-0.00390273	0.0229969	-0.00308488
2.13	0.0484086	-0.00362562	0.0229823	-0.00299001
2.14	0.0484011	-0.00374929	0.0228846	-0.00316184
2.15	0.0486019	-0.00360974	0.0233411	-0.00308518
2.16	0.0484754	-0.00405305	0.0232672	-0.00312925
2.17	0.048517	-0.00401323	0.0232115	-0.0030147
2.18	0.0482969	-0.0040086	0.0231125	-0.00295875
2.19	0.048372	-0.00386055	0.023191	-0.00308653
2.2	0.0481394	-0.00391663	0.0231255	-0.00297543
2.21	0.0483255	-0.00368238	0.0230277	-0.00314577
2.22	0.0483815	-0.00387088	0.0230057	-0.00311264
2.23	0.0485686	-0.00378388	0.0231194	-0.00303605
2.24	0.0481363	-0.00397804	0.0227543	-0.00314931
2.25	0.0484985	-0.00364487	0.0232881	-0.00312145
2.26	0.0484037	-0.0038627	0.0230801	-0.00305718
2.27	0.0485775	-0.00372963	0.0231161	-0.00294687
2.28	0.0484968	-0.00390873	0.0232376	-0.00304811
2.29	0.0484825	-0.00383886	0.0232671	-0.00314653
