TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:21:33.953	109	-0.357074	0.0332703	-0.046425	-0.00358602
15:21:34.953	110	-0.422129	0.0349458	-0.0372027	-0.00332075
15:21:35.953	111	-0.427862	0.0351029	-0.0327035	-0.00305375
15:21:36.953	112	-0.424332	0.0346	-0.0305291	-0.00264277	F1
15:21:37.953	113	-0.416361	0.0342905	-0.212321	-0.00245636
15:21:38.953	114	-0.411938	0.0341553	-0.764064	0.00935076
15:21:39.953	115	-0.411302	0.0334623	-0.746906	0.00651152	F1
15:21:40.953	116	-0.41099	0.033145	-0.693855	0.00269861
15:21:41.953	117	-0.41692	0.0319271	-0.658206	0.00330304
15:21:42.953	118	-0.421714	0.0309992	-0.641086	0.00268873
15:21:43.953	119	-0.426388	0.0294197	-0.629444	0.00253261
15:21:44.953	120	-0.427801	0.0288262	-0.616343	0.00256389
15:21:45.953	121	-0.424958	0.0282597	-0.600469	0.00249521
15:21:46.953	122	-0.414734	0.0286836	-0.582213	0.00332178
15:21:47.953	123	-0.394581	0.038599	-0.562994	0.00402903
15:21:48.953	124	-0.378879	0.0551409	-0.544079	0.00407951
15:21:49.953	125	-0.36852	0.0701891	-0.533273	0.00445568
15:21:50.953	126	-0.36001	0.0832762	-0.544325	0.00402182
15:21:51.953	127	-0.352863	0.0931494	-0.584762	0.0041421
15:21:52.953	128	-0.338175	0.115983	-0.658886	0.00468747
15:21:53.953	129	-0.292529	0.177241	-0.673212	0.00517668
15:21:54.953	130	-0.202866	0.290608	-0.663504	0.00563787
15:21:55.953	131	-0.182184	0.312132	-0.656418	0.00579014
15:21:56.953	132	-0.177714	0.297794	-0.653068	0.00568427
15:21:57.953	133	-0.162517	0.279163	-0.653418	0.00626123
15:21:58.953	134	-0.145692	0.198072	-0.654928	0.00644111
15:21:59.953	135	-0.134721	-0.0371985	-0.658429	0.00629006
15:22:00.953	136	-0.134127	-0.403977	-0.663904	0.00648961
15:22:01.953	137	-0.132738	-0.540793	-0.664845	0.00697904
15:22:02.953	138	-0.128921	-0.507176	-0.658082	0.00851086
15:22:03.953	139	-0.123457	-0.47919	-0.639846	0.014811
15:22:04.953	140	-0.118643	-0.46644	-0.613932	0.0320261
15:22:05.953	141	-0.112094	-0.461414	-0.589272	0.053404
15:22:06.953	142	-0.104461	-0.457753	-0.556939	0.0840457
15:22:07.953	143	-0.0956448	-0.453559	-0.517854	0.120805
15:22:08.953	144	-0.0874298	-0.452089	-0.46717	0.170399
15:22:09.953	145	-0.0813253	-0.454265	-0.429562	0.208555
15:22:10.953	146	-0.0720072	-0.451019	-0.413367	0.227434
15:22:11.953	147	-0.0620623	-0.442224	-0.401517	0.244156
15:22:12.953	148	-0.0524336	-0.432944	-0.380114	0.265059
15:22:13.953	149	-0.0439403	-0.426096	-0.345461	0.283969
15:22:14.953	150	-0.0364852	-0.421254	-0.304769	0.284598
15:22:15.953	151	-0.0293111	-0.418256	-0.271168	0.211661
15:22:16.953	152	-0.0231802	-0.419845	-0.23949	0.0311336
15:22:17.953	153	-0.0184299	-0.422252	-0.201317	-0.0111093
15:22:18.953	154	-0.0150287	-0.423699	-0.1941	0.00554096
15:22:19.953	155	-0.010978	-0.424288	-0.189456	0.0150168
15:22:20.953	156	-0.00677836	-0.422007	-0.181368	0.0223663
15:22:21.953	157	-0.00297592	-0.419108	-0.171954	0.029009
15:22:22.953	158	0.000352754	-0.41598	-0.162063	0.0353192
15:22:23.953	159	0.00377173	-0.412916	-0.148486	0.0448023
15:22:24.953	160	0.00717606	-0.408615	-0.135997	0.0522548
15:22:25.953	161	0.0108915	-0.403919	-0.131213	0.0528817
15:22:26.953	162	0.0145805	-0.398669	-0.127422	0.0540566
15:22:27.953	163	0.0172959	-0.393745	-0.123526	0.0549833
15:22:28.953	164	0.0182762	-0.389368	-0.119995	0.0553547
15:22:29.953	165	0.0178074	-0.387005	-0.116197	0.0561525
15:22:30.953	166	0.0181775	-0.383611	-0.112329	0.0577789
15:22:31.953	167	0.0186738	-0.380284	-0.10912	0.05994
15:22:32.953	168	0.0199904	-0.376203	-0.105311	0.0626079
15:22:33.953	169	0.0214478	-0.37193	-0.101418	0.065036
15:22:34.953	170	0.0222226	-0.368108	-0.0986038	0.0671403
15:22:35.953	171	0.0234785	-0.363525	-0.0955001	0.0693139
15:22:36.953	172	0.0255985	-0.358813	-0.0927919	0.0715513
15:22:37.953	173	0.0280526	-0.354719	-0.088999	0.0737118
15:22:38.953	174	0.030557	-0.351479	-0.086071	0.0749976
15:22:39.953	175	0.0328885	-0.347695	-0.0839523	0.0761328
15:22:40.953	176	0.03562	-0.346182	-0.0815945	0.0773242
15:22:41.953	177	0.0373397	-0.343754	-0.0798679	0.0779969
15:22:42.953	178	0.0385031	-0.339953	-0.0774526	0.0784554
15:22:43.953	179	0.0398304	-0.335029	-0.0757969	0.0791223
15:22:44.953	180	0.0417477	-0.328921	-0.0738607	0.079904
15:22:45.953	181	0.0436806	-0.322228	-0.0718876	0.0810629
15:22:46.953	182	0.0447253	-0.313738	-0.0697253	0.0821712
15:22:47.953	183	0.0465144	-0.305512	-0.0678185	0.0828604
15:22:48.953	184	0.048212	-0.29434	-0.0654323	0.0837252
15:22:49.953	185	0.0488396	-0.281715	-0.0636625	0.0838672
15:22:50.953	186	0.0500372	-0.267462	-0.06219	0.0840332
15:22:51.953	187	0.050386	-0.251534	-0.0612931	0.0837463
15:22:52.953	188	0.0505655	-0.23376	-0.0594694	0.0831669
15:22:53.953	189	0.0511624	-0.215896	-0.0582909	0.0822863
15:22:54.953	190	0.0513944	-0.196609	-0.0575806	0.0811113
15:22:55.953	191	0.051935	-0.175493	-0.0569833	0.0797444
15:22:56.953	192	0.0511129	-0.154439	-0.0564865	0.0773699
15:22:57.953	193	0.0500556	-0.132909	-0.0562426	0.074887
15:22:58.953	194	0.0488062	-0.110886	-0.0564258	0.0721989
15:22:59.953	195	0.0482454	-0.0892929	-0.0568522	0.0692456
