TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L08.2CG_example1	E4_L13.2
14:25:36.770	142	-0.365859	-0.3963	-0.385115	-0.614882
14:25:37.770	143	-0.313224	-0.387883	-0.373085	-0.600102
14:25:38.770	144	-0.290478	-0.380013	-0.362421	-0.57314
14:25:39.770	145	-0.28021	-0.373341	-0.353668	-0.556122
14:25:40.770	146	-0.276728	-0.367044	-0.346636	-0.54597
14:25:41.770	147	-0.273231	-0.357446	-0.342335	-0.542443
14:25:42.770	148	-0.268226	-0.346451	-0.338117	-0.540783
14:25:43.770	149	-0.263596	-0.335233	-0.334408	-0.540845
14:25:44.770	150	-0.2587	-0.323214	-0.331937	-0.541515
14:25:45.770	151	-0.262295	-0.321178	-0.329663	-0.54049
14:25:46.770	152	-0.268055	-0.322492	-0.327544	-0.538216
14:25:47.770	153	-0.273666	-0.324846	-0.325128	-0.534675
14:25:48.770	154	-0.27713	-0.325859	-0.322498	-0.530066
14:25:49.770	155	-0.277953	-0.326157	-0.319728	-0.524739
14:25:50.770	156	-0.278106	-0.326216	-0.316751	-0.518915
14:25:51.770	157	-0.277913	-0.325756	-0.313413	-0.511646
14:25:52.770	158	-0.276587	-0.324894	-0.310358	-0.504039
14:25:53.770	159	-0.274713	-0.323681	-0.307196	-0.496176
14:25:54.770	160	-0.27187	-0.322177	-0.302923	-0.486326
14:25:55.770	161	-0.269261	-0.320214	-0.298789	-0.475676
14:25:56.770	162	-0.266074	-0.318453	-0.293359	-0.462382
14:25:57.770	163	-0.26301	-0.316561	-0.289179	-0.449712
14:25:58.770	164	-0.259936	-0.315023	-0.285754	-0.435627
14:25:59.770	165	-0.256946	-0.313874	-0.283281	-0.420835
14:26:00.770	166	-0.254447	-0.3126	-0.280934	-0.402893
14:26:01.770	167	-0.252238	-0.31163	-0.278955	-0.382553
14:26:02.770	168	-0.250883	-0.310367	-0.276472	-0.357641
14:26:03.770	169	-0.249483	-0.30943	-0.274356	-0.328811
14:26:04.770	170	-0.249224	-0.308761	-0.272419	-0.298075
14:26:05.770	171	-0.248889	-0.309482	-0.271019	-0.264633
14:26:06.770	172	-0.249431	-0.309116	-0.269082	-0.230032
14:26:07.770	173	-0.250945	-0.309307	-0.267273	-0.195055
14:26:08.770	174	-0.253296	-0.310092	-0.26596	-0.16023
14:26:09.770	175	-0.257009	-0.309693	-0.26415	-0.12683
14:26:10.770	176	-0.260388	-0.308923	-0.263036	-0.0962951
14:26:11.770	177	-0.264428	-0.308624	-0.262008	-0.0682747
14:26:12.770	178	-0.26907	-0.30914	-0.261671	-0.0434462
14:26:13.770	179	-0.273846	-0.309766	-0.261615	-0.0213722
14:26:14.770	180	-0.27825	-0.311378	-0.261658	-0.00188697
14:26:15.770	181	-0.283183	-0.312197	-0.261261	0.0135412
14:26:16.770	182	-0.28766	-0.312286	-0.261188	0.0274352
14:26:17.770	183	-0.291504	-0.312474	-0.26124	0.0384396
14:26:18.770	184	-0.294749	-0.312212	-0.261726	0.0473743
14:26:19.770	185	-0.298202	-0.311691	-0.262361	0.054686
14:26:20.770	186	-0.300794	-0.311647	-0.262987	0.0602191
14:26:21.770	187	-0.302542	-0.312243	-0.26421	0.063982
14:26:22.770	188	-0.303361	-0.311952	-0.265194	0.0673582
14:26:23.770	189	-0.303425	-0.311471	-0.265349	0.0697052
14:26:24.770	190	-0.303066	-0.311127	-0.266226	0.0710871
14:26:25.770	191	-0.301284	-0.311073	-0.266833	0.0723745
14:26:26.770	192	-0.29979	-0.311822	-0.267496	0.0725617
14:26:27.770	193	-0.297134	-0.311788	-0.268168	0.0727
14:26:28.770	194	-0.293197	-0.310417	-0.269085	0.0722615
14:26:29.770	195	-0.287959	-0.308751	-0.269448	0.0716117
14:26:30.770	196	-0.281829	-0.307923	-0.269946	0.070625
14:26:31.770	197	-0.2749	-0.307774	-0.270311	0.0695155
14:26:32.770	198	-0.26667	-0.307113	-0.270845	0.0677937
14:26:33.770	199	-0.257453	-0.306556	-0.271549	0.0661861
14:26:34.770	200	-0.246903	-0.306484	-0.272018	0.0643872
14:26:35.770	201	-0.234923	-0.306131	-0.272047	0.0625754
14:26:36.770	202	-0.221664	-0.306528	-0.272312	0.0611758
14:26:37.770	203	-0.20663	-0.306545	-0.271734	0.0597477
14:26:38.770	204	-0.191469	-0.307168	-0.271554	0.0581491
14:26:39.770	205	-0.174656	-0.307928	-0.271565	0.0567459
14:26:40.770	206	-0.157486	-0.309236	-0.271462	0.055236
14:26:41.770	207	-0.140464	-0.310549	-0.271201	0.0541457
14:26:42.770	208	-0.123119	-0.310941	-0.271031	0.0526384
14:26:43.770	209	-0.105949	-0.312454	-0.270636	0.0508972
14:26:44.770	210	-0.0890427	-0.314705	-0.269509	0.0498565
14:26:45.770	211	-0.0730582	-0.31619	-0.269122	0.0482916
14:26:46.770	212	-0.0580942	-0.318295	-0.268543	0.0476611
14:26:47.770	213	-0.0429128	-0.320255	-0.268146	0.0460244
14:26:48.770	214	-0.029047	-0.322309	-0.267476	0.0449964
