Time	E1_L08.1PG_Col0	E2_L13.1	E3_L08.2PG_example1	E4_L13.2
1.51	-0.00635382	-0.00529344	0.0388818	0.00447694
1.52	-0.00631362	-0.00501202	0.0389513	0.00435498
1.53	-0.00639655	-0.00523111	0.0387783	0.00466751
1.54	-0.00655638	-0.00515427	0.0387456	0.00455043
1.55	-0.00652893	-0.0051486	0.038963	0.00446963
1.56	-0.00628463	-0.00492134	0.0395756	0.00441332
1.57	-0.0063896	-0.0052077	0.0388712	0.00461164
1.58	-0.00628687	-0.00485183	0.0389744	0.00433773
1.59	-0.00631578	-0.0051296	0.0388243	0.00420715
1.6	-0.00627693	-0.00522685	0.038963	0.00426994
1.61	-0.00638017	-0.00532922	0.0388299	0.00450736
1.62	-0.00642833	-0.00512208	0.0390749	0.00442006
1.63	-0.006452	-0.00530325	0.0389817	0.00467421
1.64	-0.00625665	-0.00512467	0.038663	0.00446585
1.65	-0.00636374	-0.00542139	0.0389651	0.00448048
1.66	-0.00625878	-0.00516623	0.0391386	0.00455684
1.67	-0.00641754	-0.0052947	0.0385546	0.00429692
1.68	-0.00625502	-0.00530595	0.0389324	0.00451285
1.69	-0.00645252	-0.00540836	0.0389236	0.0045871
1.7	-0.00639613	-0.00523846	0.0390773	0.00448923
1.71	-0.00640352	-0.00534675	0.038965	0.00446802
1.72	-0.0062751	-0.0051741	0.0390256	0.00428116
1.73	-0.00645266	-0.00529514	0.0387945	0.00441722
1.74	-0.00635419	-0.00515774	0.0391414	0.00435364
1.75	-0.00643707	-0.00526691	0.0387542	0.00440353
1.76	-0.00605244	-0.00496248	0.0395028	0.00442885
1.77	-0.00635289	-0.00521666	0.03906	0.00442589
1.78	-0.00651071	-0.0052616	0.039085	0.00445248
1.79	-0.00660289	-0.00531942	0.0390822	0.0043916
1.8	-0.0064646	-0.00518446	0.0389218	0.00438469
1.81	-0.00665272	-0.00520733	0.0388791	0.00453081
1.82	-0.00649874	-0.00523697	0.0391266	0.00454325
1.83	-0.00656026	-0.0053791	0.0391976	0.00476978
1.84	-0.00648176	-0.00521745	0.0389926	0.00451152
1.85	-0.00664649	-0.00533228	0.0389164	0.00440569
1.86	-0.00653748	-0.0052128	0.039515	0.0043409
1.87	-0.00652998	-0.00529299	0.0389878	0.00464052
1.88	-0.00658049	-0.00497763	0.0392685	0.00469499
1.89	-0.00652603	-0.00528776	0.0388736	0.00478216
1.9	-0.00649332	-0.00509182	0.0390086	0.00459555
1.91	-0.00654538	-0.00515367	0.0388719	0.0048756
1.92	-0.00648867	-0.00516563	0.0392366	0.00453829
1.93	-0.00661587	-0.00532461	0.0388352	0.00452271
1.94	-0.00650175	-0.00508482	0.0390639	0.00461268
1.95	-0.0064876	-0.00521059	0.0391907	0.00459407
1.96	-0.00649089	-0.00515269	0.0394306	0.00479526
1.97	-0.00672259	-0.00531276	0.0390141	0.00467636
1.98	-0.00667792	-0.00520326	0.0392279	0.00454473
1.99	-0.00651751	-0.00529857	0.0392578	0.00473051
2	-0.00637257	-0.00516909	0.0392807	0.0046732
2.01	-0.00664643	-0.0054013	0.0388298	0.00457674
2.02	-0.00669963	-0.00532944	0.0393559	0.00443454
2.03	-0.00680656	-0.00525289	0.0392182	0.00466627
2.04	-0.00656761	-0.0051608	0.0394103	0.00452496
2.05	-0.00673347	-0.00531392	0.0391492	0.00449722
2.06	-0.00638625	-0.0051983	0.0395711	0.00461395
2.07	-0.00659957	-0.00530713	0.0391352	0.00469413
2.08	-0.0065008	-0.00524741	0.0389048	0.00469647
2.09	-0.00655994	-0.00533699	0.0387761	0.00472118
2.1	-0.00651123	-0.00515228	0.0388476	0.00449596
2.11	-0.0066513	-0.00528764	0.0390261	0.00441413
2.12	-0.00657437	-0.00518277	0.0393475	0.00435096
2.13	-0.00656233	-0.00522971	0.0392536	0.00462787
2.14	-0.00641115	-0.00509736	0.0390946	0.00462737
2.15	-0.00666769	-0.00513832	0.0393215	0.00470031
2.16	-0.00655358	-0.00508273	0.0396603	0.00472599
2.17	-0.00639072	-0.00531341	0.0393983	0.00479861
2.18	-0.00645973	-0.00519899	0.0395043	0.00449443
2.19	-0.00670151	-0.00537607	0.0393213	0.00446572
2.2	-0.00664656	-0.00515453	0.0395702	0.00431174
2.21	-0.00665567	-0.00536134	0.0392507	0.00451311
2.22	-0.00663238	-0.0050592	0.0396021	0.00445366
2.23	-0.00665804	-0.00532662	0.0392689	0.00468858
2.24	-0.00650932	-0.00521171	0.0393577	0.00457918
2.25	-0.0066175	-0.00521771	0.0393271	0.0047016
2.26	-0.00643098	-0.00511109	0.0393764	0.00463172
2.27	-0.00672097	-0.00518493	0.0393591	0.00465614
2.28	-0.0065695	-0.00526292	0.0392781	0.00444165
2.29	-0.00660532	-0.00537067	0.0388375	0.00458179
2.3	-0.00661211	-0.00525092	0.0391142	0.00446113
2.31	-0.00685959	-0.00528653	0.0390907	0.00457462
2.32	-0.00658188	-0.00521734	0.0393777	0.00452285
2.33	-0.00676314	-0.00523318	0.0389318	0.00447359
2.34	-0.00673653	-0.00523743	0.0393455	0.00452619
2.35	-0.00691067	-0.00518961	0.0394069	0.00448869
2.36	-0.00692387	-0.00523314	0.0395705	0.00438216
2.37	-0.00691237	-0.00530178	0.0391518	0.00437079
2.38	-0.00679285	-0.0052627	0.0392361	0.00439279
2.39	-0.00691767	-0.00525141	0.0389918	0.00438323
2.4	-0.00682446	-0.00525541	0.0390666	0.00446706
2.41	-0.00694441	-0.00530799	0.0391487	0.00463161
2.42	-0.00686864	-0.00526739	0.0392172	0.00456358
2.43	-0.00702413	-0.00537859	0.0391152	0.00453005
2.44	-0.00704458	-0.0051718	0.0391917	0.00452601
2.45	-0.00714584	-0.00539114	0.0390146	0.00447729
2.46	-0.00682376	-0.00522339	0.0392342	0.00447622
2.47	-0.00697391	-0.00522295	0.0392058	0.00473849
2.48	-0.00704052	-0.00517038	0.039268	0.0045683
2.49	-0.00725137	-0.0050333	0.039318	0.00455197
2.5	-0.00711183	-0.00494023	0.039035	0.00448464
2.51	-0.0071864	-0.00506437	0.0392006	0.0046424
2.52	-0.00696658	-0.00498151	0.0394171	0.00441333
2.53	-0.00732607	-0.00517445	0.0393424	0.00453259
2.54	-0.00707332	-0.0051406	0.0393947	0.0044447
2.55	-0.00690218	-0.00524975	0.0393721	0.00440674
2.56	-0.00673162	-0.00464381	0.0397072	0.00441088
2.57	-0.00711488	-0.00509293	0.0394224	0.00439574
2.58	-0.00690153	-0.00504644	0.0394667	0.00424784
2.59	-0.00673411	-0.0052733	0.0395495	0.00433895
2.6	-0.00684159	-0.0051334	0.0397379	0.00429504
2.61	-0.00681091	-0.00521263	0.0395427	0.00441975
2.62	-0.00664647	-0.00481491	0.0394913	0.00433623
2.63	-0.0068527	-0.00518367	0.0393846	0.00436638
2.64	-0.00695032	-0.00499146	0.0395715	0.0044007
2.65	-0.00712612	-0.00485929	0.0394892	0.0044036
2.66	-0.00676914	-0.00467736	0.03989	0.00452278
2.67	-0.00702843	-0.00514113	0.0394583	0.00433266
2.68	-0.00692243	-0.0049335	0.0395727	0.00437899
2.69	-0.00716604	-0.00516925	0.039186	0.00459917
2.7	-0.00713545	-0.00498955	0.0393303	0.00443616
2.71	-0.00696207	-0.00502295	0.0396766	0.00472056
2.72	-0.0070181	-0.00493197	0.0399315	0.00450019
2.73	-0.00698629	-0.00514475	0.0395862	0.00444947
2.74	-0.00694692	-0.00510955	0.0399479	0.00439558
2.75	-0.00712932	-0.00510752	0.0394673	0.00442475
2.76	-0.00679824	-0.0048062	0.0398556	0.0045371
2.77	-0.00716449	-0.00520796	0.039873	0.00463488
2.78	-0.00694414	-0.00504641	0.0401037	0.00457919
2.79	-0.0070977	-0.00523484	0.0397217	0.00448759
2.8	-0.00694053	-0.00495819	0.0397862	0.00458463
2.81	-0.00711784	-0.00508978	0.0397418	0.00490546
2.82	-0.00719121	-0.00482285	0.0399579	0.004555
2.83	-0.00719865	-0.00503901	0.0398372	0.00478551
2.84	-0.00713764	-0.00495186	0.0399812	0.00461006
2.85	-0.00720714	-0.00509152	0.0396172	0.00468227
2.86	-0.00693081	-0.00477138	0.0398206	0.00484737
2.87	-0.00722719	-0.00516192	0.0399028	0.0049237
2.88	-0.00700501	-0.00470376	0.0400047	0.00483732
2.89	-0.00721382	-0.00496334	0.039672	0.00500667
2.9	-0.00728685	-0.00478368	0.0398741	0.00463289
2.91	-0.0074117	-0.00522605	0.0399498	0.00494221
2.92	-0.00733178	-0.00510055	0.0402158	0.00491382
2.93	-0.00725092	-0.00517012	0.03981	0.00494918
2.94	-0.0070574	-0.00503881	0.0397762	0.00492192
2.95	-0.00728815	-0.00524023	0.0397098	0.00495425
2.96	-0.0069513	-0.00503317	0.0400625	0.00505431
2.97	-0.00712312	-0.00531105	0.0401054	0.00508751
2.98	-0.00712135	-0.00499052	0.0402482	0.00507225
2.99	-0.00714868	-0.00513706	0.0399527	0.00537266
3	-0.0071589	-0.00511012	0.0401543	0.00517517
3.01	-0.00721609	-0.0053347	0.0400033	0.00529195
3.02	-0.0071693	-0.0050771	0.0400472	0.00524365
3.03	-0.00724936	-0.00514494	0.0401484	0.00526592
3.04	-0.00729972	-0.00503851	0.0402573	0.00532822
3.05	-0.00728343	-0.00528732	0.0399746	0.00505446
3.06	-0.00707486	-0.00504829	0.0400337	0.00492849
3.07	-0.00716662	-0.00516208	0.0397723	0.00504999
3.08	-0.00707772	-0.00476552	0.0398188	0.00471238
3.09	-0.00725202	-0.00515399	0.0398415	0.00479348
3.1	-0.00718627	-0.0048808	0.0401281	0.00501812
3.11	-0.00725167	-0.00503272	0.0399785	0.00506041
3.12	-0.00706659	-0.00489836	0.040021	0.00514998
3.13	-0.00722465	-0.00520689	0.0401041	0.00499086
3.14	-0.0073129	-0.00505654	0.0401082	0.00476766
3.15	-0.00735293	-0.00508408	0.040271	0.0051152
3.16	-0.00696342	-0.0049938	0.0404319	0.00526596
3.17	-0.00723725	-0.00514649	0.0401928	0.00518329
3.18	-0.0073088	-0.00486222	0.0402635	0.00510678
3.19	-0.00746248	-0.00494919	0.0400506	0.00514415
3.2	-0.00736711	-0.00506431	0.0403834	0.00494266
3.21	-0.0072917	-0.00511247	0.0401814	0.00490714
3.22	-0.00739927	-0.00526953	0.0405273	0.00506084
3.23	-0.00739577	-0.00526655	0.0400038	0.0052658
3.24	-0.00726455	-0.00517155	0.0403361	0.00526124
3.25	-0.00727597	-0.00524917	0.0400552	0.00534102
3.26	-0.00713429	-0.00491575	0.0400786	0.00511569
3.27	-0.00731455	-0.00524179	0.0401165	0.00522802
3.28	-0.00714794	-0.00523284	0.0401397	0.00511105
3.29	-0.0072494	-0.00533293	0.0401863	0.00516319
3.3	-0.0075057	-0.0050498	0.0400281	0.00518132
3.31	-0.00745844	-0.00519509	0.0400751	0.00511744
3.32	-0.00723429	-0.00494233	0.0403649	0.00509978
3.33	-0.00746133	-0.00520033	0.0401018	0.0053364
3.34	-0.00735474	-0.00502338	0.0403728	0.00540685
3.35	-0.00750678	-0.0050763	0.0401963	0.00564223
3.36	-0.00738365	-0.00495885	0.0401863	0.00539577
3.37	-0.0073904	-0.00506006	0.0401751	0.00541389
3.38	-0.00726885	-0.00497249	0.0402223	0.00542421
3.39	-0.00753763	-0.00515424	0.0398908	0.00531786
3.4	-0.00755299	-0.00489856	0.0402114	0.00508374
3.41	-0.00755667	-0.0049427	0.0400691	0.00537071
3.42	-0.00734676	-0.00476119	0.040047	0.00522792
3.43	-0.00737207	-0.00478508	0.0401206	0.00524589
3.44	-0.00738663	-0.00466347	0.0402738	0.00498448
3.45	-0.00740314	-0.00496829	0.0401185	0.00520134
3.46	-0.0071705	-0.00467141	0.0399448	0.00522442
3.47	-0.00736747	-0.00486512	0.0400617	0.00517547
3.48	-0.00721738	-0.00486905	0.0400028	0.00522563
3.49	-0.00730355	-0.00497664	0.0403054	0.0054374
3.5	-0.0073093	-0.00499668	0.0404761	0.00526273
3.51	-0.00727516	-0.00517455	0.0404322	0.00539536
3.52	-0.00724729	-0.00481805	0.0404666	0.00520345
3.53	-0.00724438	-0.00499724	0.0405092	0.00518577
3.54	-0.00703641	-0.00487846	0.0410119	0.0052019
3.55	-0.00728864	-0.00509421	0.0407912	0.00520025
3.56	-0.00718655	-0.00475913	0.0411112	0.00512602
3.57	-0.00729929	-0.0047652	0.0406858	0.00544529
3.58	-0.00717372	-0.00460682	0.0410166	0.00530031
3.59	-0.00735758	-0.00491687	0.0408805	0.00542537
3.6	-0.0070407	-0.00466597	0.0413333	0.00534205
3.61	-0.00721575	-0.0049663	0.0409225	0.00527728
3.62	-0.00718212	-0.00475937	0.0412165	0.00530834
3.63	-0.00729375	-0.00497959	0.0410515	0.00528106
3.64	-0.0071329	-0.00488149	0.041331	0.00516187
3.65	-0.00722238	-0.00482134	0.0410709	0.00524494
3.66	-0.0071029	-0.0046418	0.0412306	0.00520826
3.67	-0.00725648	-0.00494378	0.0408818	0.00530318
3.68	-0.00712553	-0.00467518	0.0410984	0.00526206
3.69	-0.00718558	-0.0046973	0.0405778	0.00526073
3.7	-0.00705259	-0.00435191	0.0408058	0.00505266
3.71	-0.00741782	-0.00464788	0.0405376	0.00529819
3.72	-0.00732339	-0.00456617	0.0408599	0.00500509
3.73	-0.00727386	-0.00465172	0.0406217	0.00530985
3.74	-0.00728694	-0.00453152	0.0409268	0.00537516
3.75	-0.00722381	-0.0047678	0.0405819	0.00548921
3.76	-0.00710846	-0.00476779	0.0407752	0.0055262
3.77	-0.00710504	-0.00471925	0.0406636	0.00541242
3.78	-0.00722345	-0.00466053	0.0406378	0.00530612
3.79	-0.00728261	-0.00479269	0.0400761	0.00531518
3.8	-0.00702208	-0.00469293	0.0398775	0.0050022
3.81	-0.00727469	-0.00450905	0.0393889	0.00502945
3.82	-0.00704711	-0.00442217	0.0394653	0.00498479
3.83	-0.00709424	-0.00471959	0.0389518	0.00512642
