TimeOfDay	Time	E1_L08.1CG_example1	E2_L13.1	E3_L13.2	E4_L08.2CG_Col0
15:10:44.139	236	-0.278432	-0.0304405	-0.112558	-0.398454
15:10:45.139	237	-0.279473	-0.0325574	-0.105001	-0.399582
15:10:46.139	238	-0.280704	-0.0347982	-0.0898132	-0.400728
15:10:47.139	239	-0.281567	-0.0369421	-0.0858366	-0.402259
15:10:48.139	240	-0.281802	-0.0377356	-0.0643291	-0.403725
15:10:49.139	241	-0.282594	-0.0389473	-0.0606	-0.404789
15:10:50.139	242	-0.282798	-0.0395133	-0.0503188	-0.405898
15:10:51.139	243	-0.28232	-0.0401171	-0.0421205	-0.406613
15:10:52.139	244	-0.281513	-0.0407111	-0.0320009	-0.406975
15:10:53.139	245	-0.280644	-0.0409892	-0.0268907	-0.407669
15:10:54.139	246	-0.279385	-0.0412325	-0.0203816	-0.40846
15:10:55.139	247	-0.278403	-0.041726	-0.0155041	-0.40935
15:10:56.139	248	-0.2769	-0.0418986	-0.0135662	-0.409713
15:10:57.139	249	-0.275904	-0.0421729	-0.011091	-0.410075
15:10:58.139	250	-0.275195	-0.0423244	-0.0105274	-0.410156
15:10:59.139	251	-0.273844	-0.0423766	-0.00761603	-0.410589
15:11:00.139	252	-0.272504	-0.0430635	-0.00445478	-0.410887
15:11:01.139	253	-0.271254	-0.0437825	-0.0013023	-0.410941
15:11:02.139	254	-0.270425	-0.0442597	0.00108111	-0.411094
15:11:03.139	255	-0.268892	-0.0447606	0.00345394	-0.411522
15:11:04.139	256	-0.267813	-0.0477659	0.00625531	-0.411955
15:11:05.139	257	-0.268312	-0.0572076	0.00828167	-0.411565
15:11:06.139	258	-0.267513	-0.0580349	0.00934043	-0.411234
15:11:07.139	259	-0.266366	-0.0587524	0.0093594	-0.411309
15:11:08.139	260	-0.265112	-0.0592576	0.00797276	-0.411614
15:11:09.139	261	-0.263846	-0.0600049	0.00871282	-0.411836
15:11:10.139	262	-0.262634	-0.060524	0.0102358	-0.411517
15:11:11.139	263	-0.26122	-0.0607415	0.0103886	-0.410998
15:11:12.139	264	-0.26005	-0.0618416	0.00975911	-0.411104
15:11:13.139	265	-0.258959	-0.0625694	0.00938206	-0.410851
15:11:14.139	266	-0.257979	-0.0633799	0.00814281	-0.410295
15:11:15.139	267	-0.256737	-0.0642923	0.00687928	-0.4103
15:11:16.139	268	-0.255867	-0.0655449	0.00618882	-0.410237
15:11:17.139	269	-0.254567	-0.0663656	0.00365352	-0.409487
15:11:18.139	270	-0.253521	-0.0670423	0.00403144	-0.409343
15:11:19.139	271	-0.252723	-0.0679966	0.00348999	-0.408821
15:11:20.139	272	-0.251677	-0.0691085	0.00258312	-0.408543
15:11:21.139	273	-0.250438	-0.0699238	0.00213439	-0.407982
15:11:22.139	274	-0.249741	-0.070546	0.00239286	-0.407071
15:11:23.139	275	-0.248911	-0.0713863	0.00260686	-0.406603
15:11:24.139	276	-0.248104	-0.0727353	0.00150638	-0.405922
15:11:25.139	277	-0.247101	-0.073482	0.000969254	-0.405482
15:11:26.139	278	-0.245993	-0.0748032	0.00121372	-0.40563
15:11:27.139	279	-0.245287	-0.0754649	0.000786906	-0.405401
15:11:28.139	280	-0.244351	-0.0762994	0.000174912	-0.404804
15:11:29.139	281	-0.243735	-0.077657	0.000354655	-0.404478
15:11:30.139	282	-0.242863	-0.078549	0.00052739	-0.403909
15:11:31.139	283	-0.242063	-0.0794664	0.000509349	-0.402987
15:11:32.139	284	-0.241608	-0.0805721	0.000814406	-0.402414
15:11:33.139	285	-0.241136	-0.0819099	0.000710638	-0.401651
15:11:34.139	286	-0.240059	-0.0834383	0.00165474	-0.401228
15:11:35.139	287	-0.239275	-0.0850793	0.000838124	-0.401333
15:11:36.139	288	-0.238282	-0.0860486	1.98031e-07	-0.401206
15:11:37.139	289	-0.237628	-0.0871641	0.000123442	-0.401306
15:11:38.139	290	-0.236946	-0.0882248	-0.000554736	-0.400969
15:11:39.139	291	-0.235617	-0.0887452	-0.000933274	-0.400894
15:11:40.139	292	-0.234746	-0.0896792	-0.0018813	-0.400821
15:11:41.139	293	-0.23406	-0.0909026	-0.00249892	-0.400714
15:11:42.139	294	-0.233243	-0.0918949	-0.00213324	-0.400583
15:11:43.139	295	-0.232304	-0.0926874	-0.00276211	-0.399725
15:11:44.139	296	-0.231628	-0.0936316	-0.00369812	-0.399068
15:11:45.139	297	-0.23064	-0.0946782	-0.00471983	-0.398402
15:11:46.139	298	-0.229964	-0.0958745	-0.00481074	-0.397208
15:11:47.139	299	-0.229681	-0.0968592	-0.00510746	-0.396675
15:11:48.139	300	-0.229054	-0.097954	-0.00488091	-0.395825
15:11:49.139	301	-0.228309	-0.0987568	-0.00503607	-0.394967
15:11:50.139	302	-0.227574	-0.0998071	-0.00665896	-0.394535
15:11:51.139	303	-0.227031	-0.100556	-0.00687657	-0.393914
15:11:52.139	304	-0.226378	-0.101723	-0.00848252	-0.39375
15:11:53.139	305	-0.225901	-0.103231	-0.00988742	-0.392952
15:11:54.139	306	-0.225138	-0.104132	-0.0108652	-0.392671
15:11:55.139	307	-0.224679	-0.105267	-0.0120097	-0.392049
15:11:56.139	308	-0.224027	-0.106231	-0.0126132	-0.39153
15:11:57.139	309	-0.222977	-0.107122	-0.0143886	-0.390921
15:11:58.139	310	-0.222512	-0.108022	-0.0160861	-0.390397
15:11:59.139	311	-0.222161	-0.109583	-0.0171345	-0.390399
15:12:00.139	312	-0.221611	-0.110866	-0.0163989	-0.390033
15:12:01.139	313	-0.221489	-0.112149	-0.0171461	-0.388877
15:12:02.139	314	-0.221001	-0.113235	-0.0167302	-0.388582
15:12:03.139	315	-0.220602	-0.114471	-0.0136156	-0.387915
15:12:04.139	316	-0.220211	-0.115758	-0.00801068	-0.387599
15:12:05.139	317	-0.219826	-0.117427	-0.0114469	-0.387223
15:12:06.139	318	-0.219145	-0.118799	-0.00786889	-0.386398
15:12:07.139	319	-0.218908	-0.120097	-0.00337171	-0.385823
15:12:08.139	320	-0.218577	-0.121673	-0.00308183	-0.38501
15:12:09.139	321	-0.218602	-0.123431	-0.00195302	-0.384227
15:12:10.139	322	-0.218563	-0.124957	-0.00178007	-0.383628
15:12:11.139	323	-0.218512	-0.126481	-0.000812722	-0.382994
15:12:12.139	324	-0.218045	-0.127806	-0.000239757	-0.3824
15:12:13.139	325	-0.217647	-0.129254	-0.000278112	-0.381682
15:12:14.139	326	-0.217834	-0.130334	-0.000524972	-0.380859
15:12:15.139	327	-0.217629	-0.132	-0.00152049	-0.379803
15:12:16.139	328	-0.217301	-0.133343	-0.00108986	-0.37923
15:12:17.139	329	-0.216915	-0.134712	-0.0012537	-0.378544
15:12:18.139	330	-0.216832	-0.136083	-0.00254672	-0.377861
15:12:19.139	331	-0.216916	-0.137149	-0.00250634	-0.377355
15:12:20.139	332	-0.217014	-0.138589	-0.00408096	-0.376649
15:12:21.139	333	-0.216746	-0.139607	-0.00544594	-0.376201
15:12:22.139	334	-0.21679	-0.14088	-0.0076119	-0.376186
15:12:23.139	335	-0.21613	-0.142031	-0.0124841	-0.3769
15:12:24.139	336	-0.215711	-0.142869	-0.0125518	-0.377022
15:12:25.139	337	-0.215392	-0.143999	-0.0145434	-0.37731
15:12:26.139	338	-0.214959	-0.144994	-0.0154442	-0.377214
15:12:27.139	339	-0.215335	-0.146209	-0.0157894	-0.376987
15:12:28.139	340	-0.215302	-0.14705	-0.0183825	-0.376507
15:12:29.139	341	-0.214994	-0.147933	-0.0160636	-0.376167
15:12:30.139	342	-0.215021	-0.148817	-0.0131617	-0.375582
15:12:31.139	343	-0.214798	-0.150015	-0.0143865	-0.374972
15:12:32.139	344	-0.214339	-0.151204	-0.0116001	-0.37424
15:12:33.139	345	-0.214095	-0.151943	-0.0173454	-0.373944
15:12:34.139	346	-0.213734	-0.152637	-0.0132843	-0.373502
15:12:35.139	347	-0.213914	-0.153644	-0.00891207	-0.37306
15:12:36.139	348	-0.21457	-0.154529	-0.0133215	-0.372694
15:12:37.139	349	-0.214657	-0.155895	-0.0108207	-0.372299
15:12:38.139	350	-0.214514	-0.156798	-0.0162391	-0.372064
15:12:39.139	351	-0.214018	-0.158015	-0.0167513	-0.371292
15:12:40.139	352	-0.213587	-0.158885	-0.0180131	-0.370743
15:12:41.139	353	-0.213136	-0.159973	-0.0177857	-0.370444
15:12:42.139	354	-0.213045	-0.161025	-0.0191766	-0.369726
15:12:43.139	355	-0.212832	-0.161932	-0.017361	-0.369566
15:12:44.139	356	-0.212436	-0.1629	-0.0163568	-0.369232
15:12:45.139	357	-0.212178	-0.163538	-0.0195538	-0.369012
15:12:46.139	358	-0.211558	-0.164166	-0.0164311	-0.368665
15:12:47.139	359	-0.211369	-0.164675	-0.020242	-0.367998
15:12:48.139	360	-0.211515	-0.165274	-0.0216746	-0.367461
15:12:49.139	361	-0.211407	-0.166098	-0.0226042	-0.366851
15:12:50.139	362	-0.211082	-0.16665	-0.0199609	-0.366723
15:12:51.139	363	-0.210976	-0.167246	-0.0194584	-0.366384
